index	marca	preco
188	Cadeira Gamer Noblechairs Epic, Até 120kg, com Almofadas, Branco - NBL-PU-WHT-001	R$ 2.799,99
189	Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco	R$ 509,15
190	Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Branco	R$ 560,15
191	Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Rosa - Mgch-mx0/pk	R$ 509,15
192	Cadeira Gamer Baba Shop Profissional DC Batman, Até 150 Kg, Reclinável, Preta	R$ 839,90
193	Cadeira Gamer Waw Design Bunker, Reclinável, Oficial Santos F.C, Ergonômica, Altura Ajustável, Função Relax	R$ 765,30
194	Cadeira Gamer, Prizi, Lord - Azul	R$ 993,61
195	Cadeira Gamer Prizi Runner, 180KG, Verde	R$ 465,41
196	Cadeira Gamer Prizi Verde - Pz1005	R$ 807,41
197	Cadeira DT3 GT-WR - Red	R$ 699,00
198	Cadeira Gamer Elements Gaming Veda Ignis, Peso Suportado até 150Kg, Almofada Lombar e Cervical, Preto E Vermelho	R$ 1.466,71
199	Cadeira Gamer Pcyes Mad Racer V12, Reclinável, Preta	R$ 1.783,95
200	Cadeira Gamer Racer X Comfort, Vermelha, Peso máximo suportado: 100 Kg	R$ 819,90
201	Cadeira Gamer Giratoria MX12 MyMax, Suporta 150Kg, Preto e Vermelho	R$ 934,15
202	Cadeira Gamer Pelegrin, Até 150 Kg, em Couro Pu, Preta e Vermelha - PEL-3016	R$ 464,55
203	Cadeira Gamer Pelegrin em Couro Pu, Suporta até 120Kg, Preta e Azul - Pel-3016	R$ 464,55
204	Cadeira Gamer Husky Gaming Polar, Preto e Azul, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HPO-BB	R$ 674,99
205	Cadeira Gamer Mymax MX0, Até 120Kg, Giratória, Preto e Azul	R$ 509,15
206	Cadeira Gamer DT3 Sports Elise, Até 130 Kg, Fabric, Red - 12194-7	R$ 1.458,63
207	Cadeira Nex Max, Giratória E Reclinável, Preta E Branca - Dxracer	R$ 1.794,47
208	Cadeira Gamer Nations Brasil, 150kg, Azul Amarela, Dazz - 62000064	R$ 754,21
